"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2020","EQ","188.00","190.00","183.60","183.00","187.55","187.75","187.20","373.80","173.55",62417301,"11,684,531,636.40",366071
"08-Apr-2020","EQ","182.90","194.40","180.45","186.40","182.80","183.00","186.60","373.80","173.55",80436673,"15,009,874,887.25",501541
"07-Apr-2020","EQ","184.40","187.30","177.60","175.50","185.75","186.40","182.25","373.80","173.55",72133717,"13,146,682,223.20",486914
"03-Apr-2020","EQ","187.55","188.20","175.00","186.55","176.00","175.50","178.56","373.80","173.55",64455937,"11,509,145,350.40",589657
"01-Apr-2020","EQ","194.00","194.50","185.25","196.85","187.00","186.55","188.22","373.80","173.55",52954482,"9,967,149,865.15",400004
"31-Mar-2020","EQ","192.00","198.50","188.05","186.90","196.00","196.85","193.17","373.80","173.55",59543906,"11,502,375,489.05",402063
"30-Mar-2020","EQ","190.00","195.00","186.25","195.95","186.80","186.90","190.76","373.80","173.55",60083237,"11,461,423,297.75",438701
"27-Mar-2020","EQ","202.00","211.90","195.00","192.75","195.15","195.95","202.07","373.80","173.55",114746995,"23,187,440,587.15",777296
"26-Mar-2020","EQ","191.55","201.00","185.10","189.90","193.25","192.75","193.70","373.80","173.55",107260674,"20,776,414,217.25",622633
"25-Mar-2020","EQ","178.00","195.25","176.45","183.20","190.60","189.90","185.50","373.80","173.55",71568237,"13,275,864,829.35",512710
"24-Mar-2020","EQ","190.95","191.95","173.55","181.60","185.40","183.20","183.93","373.80","173.55",67492010,"12,413,785,195.85",512638
"23-Mar-2020","EQ","190.00","199.50","180.25","209.85","181.95","181.60","186.66","373.80","180.25",61751758,"11,526,464,685.55",613264
"20-Mar-2020","EQ","205.55","215.70","200.00","203.65","208.85","209.85","208.91","373.80","184.65",77393021,"16,168,344,317.80",470053
"19-Mar-2020","EQ","202.95","219.75","198.15","215.20","203.45","203.65","207.44","373.80","184.65",93535977,"19,402,663,475.75",617960
"18-Mar-2020","EQ","221.00","223.15","200.10","215.15","215.75","215.20","209.42","373.80","184.65",101405421,"21,236,030,167.45",627917
"17-Mar-2020","EQ","227.20","229.90","212.05","223.35","213.90","215.15","223.23","373.80","184.65",65414721,"14,602,255,592.95",437283
"16-Mar-2020","EQ","227.90","231.40","220.60","242.00","223.35","223.35","225.85","373.80","184.65",75584607,"17,070,605,991.90",520840
"13-Mar-2020","EQ","200.00","248.80","184.65","212.60","244.25","242.00","226.87","373.80","184.65",155703140,"35,324,093,331.70",908228
"12-Mar-2020","EQ","231.90","231.90","208.60","245.10","215.40","212.60","220.65","373.80","208.60",99770256,"22,014,550,023.85",582694
"11-Mar-2020","EQ","253.00","258.50","243.10","253.45","244.25","245.10","250.69","373.80","243.10",90847179,"22,774,582,918.95",473850
"09-Mar-2020","EQ","260.05","262.75","251.15","270.50","252.30","253.45","256.54","373.80","244.35",101294751,"25,986,612,245.30",539589
"06-Mar-2020","EQ","268.00","274.40","253.95","288.50","269.80","270.50","268.89","373.80","244.35",106043172,"28,514,340,665.60",538814
"05-Mar-2020","EQ","290.90","298.40","270.00","285.30","287.55","288.50","286.17","373.80","244.35",149245973,"42,709,961,201.10",705570
"04-Mar-2020","EQ","291.80","293.00","275.10","289.85","284.95","285.30","283.13","373.80","244.35",73675736,"20,860,146,300.10",369109
"03-Mar-2020","EQ","293.00","294.40","285.30","287.40","290.50","289.85","289.46","373.80","244.35",61949382,"17,932,087,255.25",351083
"02-Mar-2020","EQ","311.00","312.00","284.05","303.00","287.60","287.40","300.12","373.80","244.35",66711413,"20,021,133,661.15",374435
"28-Feb-2020","EQ","312.00","314.65","301.10","321.95","304.60","303.00","308.09","373.80","244.35",59705346,"18,394,484,908.50",332224
"27-Feb-2020","EQ","328.00","330.00","318.00","328.20","321.65","321.95","322.89","373.80","244.35",47010040,"15,179,291,705.15",254847
"26-Feb-2020","EQ","324.85","330.80","324.20","326.80","328.15","328.20","327.58","373.80","244.35",43915281,"14,385,942,926.05",237750
"25-Feb-2020","EQ","325.90","328.15","322.20","322.95","327.75","326.80","325.65","373.80","244.35",39050709,"12,716,959,152.40",236225
"24-Feb-2020","EQ","325.75","331.30","321.85","327.65","322.80","322.95","326.73","373.80","244.35",45273936,"14,792,560,598.50",268314
"20-Feb-2020","EQ","319.35","329.20","318.75","320.35","327.90","327.65","325.20","373.80","244.35",40150409,"13,057,090,759.20",261607
"19-Feb-2020","EQ","322.30","324.00","317.25","317.55","320.20","320.35","320.20","373.80","244.35",39846727,"12,758,963,019.30",229162
"18-Feb-2020","EQ","315.40","319.20","309.40","314.20","318.05","317.55","313.46","373.80","244.35",38588583,"12,096,037,114.35",226792
"17-Feb-2020","EQ","320.95","321.15","311.65","319.40","314.70","314.20","314.88","373.80","244.35",36950692,"11,634,918,971.75",244850
"14-Feb-2020","EQ","328.10","331.90","318.55","327.45","319.90","319.40","324.61","373.80","244.35",48205947,"15,648,251,911.10",260920
"13-Feb-2020","EQ","322.00","330.95","322.00","320.20","327.50","327.45","327.78","373.80","244.35",62516057,"20,491,203,548.50",345413
"12-Feb-2020","EQ","329.90","329.90","319.25","324.35","320.40","320.20","323.80","373.80","244.35",38930849,"12,606,002,673.05",212834
"11-Feb-2020","EQ","321.05","325.80","321.05","318.50","324.50","324.35","323.44","373.80","244.35",30188757,"9,764,353,222.25",203738
"10-Feb-2020","EQ","319.80","322.80","316.50","320.55","318.50","318.50","318.80","373.80","244.35",24816396,"7,911,407,182.20",152107
"07-Feb-2020","EQ","321.50","325.00","318.40","321.95","319.80","320.55","322.00","373.80","244.35",37126803,"11,954,880,661.95",206969
"06-Feb-2020","EQ","311.20","323.50","310.10","311.00","321.05","321.95","318.10","373.80","244.35",57757656,"18,372,962,070.90",307485
"05-Feb-2020","EQ","306.90","313.65","304.60","306.25","311.00","311.00","309.09","373.80","244.35",35014841,"10,822,782,921.60",193574
"04-Feb-2020","EQ","302.90","307.55","297.10","298.10","305.90","306.25","303.37","373.80","244.35",51141567,"15,514,679,241.25",275826
"03-Feb-2020","EQ","303.00","306.85","295.35","302.60","298.50","298.10","300.62","373.80","244.35",56060158,"16,852,947,492.10",340547
"01-Feb-2020","EQ","317.95","322.65","296.30","318.45","302.80","302.60","313.18","373.80","244.35",61841736,"19,367,383,131.95",402634
"31-Jan-2020","EQ","313.70","321.70","308.60","310.70","318.10","318.45","316.25","373.80","244.35",92656638,"29,302,665,673.35",457787
"30-Jan-2020","EQ","316.75","316.75","305.65","316.45","310.00","310.70","311.18","373.80","244.35",35802330,"11,141,017,855.00",227687
"29-Jan-2020","EQ","317.85","319.70","315.55","315.10","316.95","316.45","317.75","373.80","244.35",23914114,"7,598,704,488.45",143297
"28-Jan-2020","EQ","317.95","320.00","311.05","316.20","316.40","315.10","316.67","373.80","244.35",26488426,"8,388,015,228.10",173879
